i,j,x_upper,y_upper,x_lower,y_lower
0,3,3214.14,1152.35,3215.52,1147.07
0,3,3214.55,1152.99,3216.18,1146.7
0,3,3215.05,1153.65,3216.94,1146.37
0,3,3215.64,1154.32,3217.79,1146.08
0,3,3216.34,1155.01,3218.73,1145.82
0,3,3217.13,1155.71,3219.77,1145.59
0,3,3218.02,1156.42,3220.89,1145.4
0,3,3219,1157.15,3222.1,1145.25
0,3,3220.07,1157.88,3223.4,1145.13
0,3,3221.24,1158.63,3224.78,1145.05
0,3,3222.5,1159.39,3226.25,1145
0,3,3223.85,1160.15,3227.8,1144.99
0,3,3225.29,1160.93,3229.43,1145.02
0,3,3226.81,1161.7,3231.14,1145.08
0,3,3228.42,1162.49,3232.93,1145.19
0,3,3230.12,1163.28,3234.8,1145.33
0,3,3231.9,1164.07,3236.74,1145.5
0,3,3233.76,1164.86,3238.75,1145.72
0,3,3235.7,1165.66,3240.83,1145.97
0,3,3237.72,1166.45,3242.98,1146.26
0,3,3239.81,1167.25,3245.2,1146.59
0,3,3241.98,1168.04,3247.47,1146.95
0,3,3244.22,1168.83,3249.81,1147.35
0,3,3246.52,1169.62,3252.21,1147.79
0,3,3248.89,1170.41,3254.67,1148.26
0,3,3251.33,1171.19,3257.17,1148.77
0,3,3253.83,1171.97,3259.73,1149.32
0,3,3256.39,1172.73,3262.34,1149.89
0,3,3259,1173.5,3265,1150.5
0,3,3261.67,1174.26,3267.69,1151.14
0,3,3264.39,1175,3270.43,1151.82
0,3,3267.16,1175.75,3273.21,1152.52
0,3,3269.97,1176.48,3276.02,1153.25
0,3,3272.83,1177.2,3278.87,1154.01
0,3,3275.72,1177.92,3281.75,1154.8
0,3,3278.65,1178.63,3284.65,1155.62
0,3,3281.62,1179.33,3287.58,1156.45
0,3,3284.61,1180.01,3290.53,1157.31
0,3,3287.63,1180.69,3293.5,1158.2
0,3,3290.68,1181.36,3296.48,1159.1
0,3,3293.75,1182.02,3299.48,1160.02
0,3,3296.83,1182.67,3302.49,1160.96
0,3,3299.93,1183.31,3305.5,1161.92
0,3,3303.04,1183.93,3308.52,1162.89
0,3,3306.15,1184.55,3311.54,1163.87
0,3,3309.27,1185.16,3314.56,1164.86
0,3,3312.4,1185.75,3317.58,1165.87
0,3,3315.52,1186.34,3320.59,1166.88
0,3,3318.63,1186.91,3323.59,1167.9
0,3,3321.74,1187.48,3326.57,1168.92
0,3,3324.83,1188.03,3329.54,1169.95
0,3,3327.91,1188.57,3332.49,1170.98
0,3,3330.97,1189.1,3335.42,1172.01
0,3,3334.01,1189.62,3338.33,1173.04
0,3,3337.02,1190.12,3341.21,1174.07
0,3,3340.01,1190.62,3344.06,1175.1
0,3,3342.97,1191.1,3346.87,1176.12
0,3,3345.89,1191.57,3349.65,1177.13
0,3,3348.77,1192.03,3352.39,1178.14
0,3,3351.62,1192.48,3355.09,1179.14
0,3,3354.42,1192.91,3357.75,1180.13
0,3,3357.17,1193.34,3360.36,1181.1
0,3,3359.88,1193.75,3362.92,1182.07
0,3,3362.54,1194.14,3365.44,1183.02
0,3,3365.14,1194.53,3367.89,1183.95
0,3,3367.68,1194.9,3370.29,1184.87
0,3,3370.16,1195.26,3372.64,1185.77
0,3,3372.59,1195.6,3374.92,1186.65
0,3,3374.94,1195.94,3377.14,1187.51
0,3,3377.23,1196.26,3379.29,1188.35
0,3,3379.45,1196.56,3381.38,1189.16
